Id,Last Name,First Name,Gender,Mail,Address,Birth Date,Nationality,Contract Start Date,Contract End Date,Employee Number,Job Title,CSP Id,Department Id,Manager Id,Legal Entity Id
6,Alibert,Chloe,Female,calibert@example.org,"427 rue Daguerre, 75014 Paris",1963-02-23T00:00:00,France,2001-09-21T00:00:00,,M0055,Technicienne,Cadre supérieur,6,15,1
7,Archer,Marie-Françoise,Female,marcher@example.org,"24 avenue Mozart, 75016 Paris",1965-02-07T00:00:00,France,2001-10-08T00:00:00,,M0028,Technicienne,Cadre supérieur,12,15,1
8,Bart,Maurice,Male,mbart@example.org,"24 rue Martin Bernard, 75013 Paris",1979-01-02T00:00:00,France,2001-10-06T00:00:00,,M0029,Comptable,Cadre supérieur,8,15,1
9,Beaulinette,Antoine,Male,abeaulinette@example.org,"23 rue des Blancs Manteaux, 75004 Paris",1977-07-19T00:00:00,France,2001-09-20T00:00:00,,M0059,Directeur Administratif et Financier,Cadre,8,15,1
10,Benton,Peter,Male,pbenton@example.org,51 Marville Road,1977-07-18T00:00:00,United Kingdom,2001-10-02T00:00:00,2024-05-13T00:00:00,M0003,Toto,Higher professional occupation,11,35,2
11,Berry,Jessica,Female,jberry@example.org,"65, Rue Victor Hugo, 75001 Paris",1961-11-20T00:00:00,United Kingdom,2020-01-02T00:00:00,,1,Business Developer,Higher professional occupation,10,25,2
12,Bouchard,Maurice,Male,mbouchard@example.org,"22 rue de la Folie Méricourt, 75011 Paris",1963-03-04T00:00:00,France,2001-10-04T00:00:00,,M0009,Assistant de Direction,Cadre supérieur,11,35,1
13,Bouquineau,Ines,Female,ibouquineau@example.org,Chemin de la montée,1977-07-30T00:00:00,France,2001-09-23T00:00:00,,M0061,Secrétaire,Cadre supérieur,11,15,1
14,Bowen,Peter,Male,pbowen@example.org,"120 Regent Street, London W1B",1983-01-24T00:00:00,France,2001-09-24T00:00:00,2023-11-17T00:00:00,4,Sales,Intermediate occupation,9,20,2
15,Bragoulet,Marie,Female,mbragoulet@example.org,"2 Place de la République, 92100 Colombes",1979-01-11T00:00:00,France,2001-10-03T00:00:00,,M0062,Responsable R&D,Cadre supérieur,12,35,1
16,Bresnier,Valentin,Male,vbresnier@example.org,27 rue du Champ de l'alouette,1996-02-12T00:00:00,France,2023-05-10T00:00:00,,M0058,Ingénieur R&D,,12,15,1
17,Brown,Chloe,Female,cbrown@example.org,Chemin des écureuil,1977-08-01T00:00:00,United States of America,2021-12-14T00:00:00,,2001,Service Desk Technician,Higher professional occupation,9,10,2
18,Carter,John,Male,jcarter@example.org,23 Piccadilly street Oxford,1969-08-12T00:00:00,United Kingdom,2007-01-01T00:00:00,,6,Business Developer,Cadre,10,25,2
19,Clisson,Brigitte,Female,bclisson@example.org,37 Rue Traversières,1977-07-23T00:00:00,France,2007-02-07T00:00:00,,M0025,Responsable UX,Technicien,12,15,1
20,Constant,Michel,Male,mconstant@example.org,120 Rue du Bonheur,1977-07-21T00:00:00,France,2013-03-02T00:00:00,,M0060,Directeur Commercial,Cadre supérieur,13,35,1
21,Cox,Adam,Male,acox@example.org,1 port Street,1965-12-09T00:00:00,France,2010-08-06T00:00:00,,2006,Business Developer,Higher professional occupation,10,25,2
22,Cretault,Jacques,Male,jcretault@example.org,"7 rue de la Glacière, 75013 Paris",1983-07-28T00:00:00,France,2007-08-01T00:00:00,,M0057,Technicien,Technicien,7,15,1
23,Curtis,Katie,Female,kcurtis@example.org,7 Rue de la Grande Allée,1971-12-29T00:00:00,France,2023-09-11T00:00:00,,10,Technician,Intermediate occupation,9,10,2
24,Roux,Pascal,Male,pdhorne@example.org,45 rue du Champ de l'alouette,1972-04-24T00:00:00,France,2009-12-03T00:00:00,2019-10-23T00:00:00,DHORNE,Responsable des opérations,Technicien,7,15,1
25,Doherty,Alexander,Male,adoherty@example.org,24 rue du Champ de l'alouette,1970-11-14T00:00:00,France,2004-05-04T00:00:00,,2005,Sales Director - UK,Higher professional occupation,10,10,2
26,Douglas,Rebecca,Female,rdouglas@example.org,28 rue du Champ de l'alouette,1977-08-04T00:00:00,United Kingdom,2006-09-18T00:00:00,,8,Head of Help Desk,Higher professional occupation,9,10,2
27,Dupont,Jean,Male,jdupont@example.org,5 rue de la Glacière,1975-10-08T00:00:00,France,2006-03-09T00:00:00,,M0052,Assistant administratif,Technicien,14,15,1
28,Epineau,Cécile,Female,cepineau@example.org,7 rue Oberkampf,1957-08-31T00:00:00,France,2009-01-01T00:00:00,,M0001,Ingénieure R&D,Technicien,12,15,1
29,Estienne,Denis,Male,destienne@example.org,17 rue des Pyramides,1977-07-25T00:00:00,France,2011-01-01T00:00:00,,M0013,Business Developer,Cadre supérieur,13,20,1
30,Evans,Lilly,Female,levans@example.org,42 Crown Street,1961-06-26T00:00:00,United Kingdom,2021-12-14T00:00:00,,5,Business Developer,Intermediate occupation,10,25,2
31,Fromiau,Nicolas,Male,nfromiau@example.org,26 rue du Champ de Ménilmontant,1966-05-27T00:00:00,France,2000-11-06T00:00:00,,M0056,Business Developer,Cadre supérieur,13,20,1
32,Geste,Florence,Female,fgeste@example.ch,Avenue de Rhodanie 2,1976-07-11T00:00:00,Switzerland,2007-06-25T00:00:00,,M0019,Business Developer,Cadre supérieur,13,15,1
33,Gouache,Antonin,Male,agouache@example.org,23 Rue des Maraîchers,1977-08-02T00:00:00,France,2004-10-04T00:00:00,,M0011,Business Developer,Cadre supérieur,13,15,1
34,Gourdon,Agathe,Female,agourdon@example.org,45 rue Monge,1961-06-26T00:00:00,France,2016-05-15T00:00:00,2023-12-29T00:00:00,M0010,Responsable Qualité,Technicien,7,43,1
35,Hernandez,Daniel,Male,dhernandez@example.org,24 rue du Champ de l'alouette,1998-05-01T00:00:00,France,2023-05-10T00:00:00,,M0054,DRH,Cuadros medios,14,35,3
36,Heulin,Celine,Female,cheulin@example.org,3 rue de Rennes,1961-06-26T00:00:00,France,2006-04-03T00:00:00,,M0023,Agent de production,Technicien,7,15,1
37,Girard,Christiane,Female,cimbert@example.org,24 Boulevards des Belges,1970-06-06T00:00:00,United Kingdom,2010-01-01T00:00:00,2019-10-23T00:00:00,IMBERT,Technicienne,Technicien,6,20,1
38,Jacotot,Alain,Male,no-reply@lucca.fr,"24 rue du Champ de l'alouette, 75013 Paris",1961-06-26T00:00:00,France,1999-07-19T00:00:00,2016-06-30T00:00:00,3011,Technicien,Technicien,6,20,1
39,Marceau,Anaïs,Female,amarceau@example.org,"45, Rue du Platane",,,2023-09-11T00:00:00,,M0051,,Cadre,14,9,1
40,Pascal,Gregory,Male,pgregory@example.org,"367, rue de Vaugirard",,,2023-09-25T00:00:00,,M0050,,,6,43,1
41,Pichou,Olivier,Male,opichou@example.org,12 Rue des Moineaux,1987-02-22T00:00:00,,2023-09-18T00:00:00,,M0049,,Cadre,12,15,1
42,Recoquillon,Jérôme,Male,jrecoquillon@example.org,22 Avenue d'Italie,1975-09-30T00:00:00,France,2024-06-01T00:00:00,,M0016,,Cadre,14,35,1
43,Richard,Jules,Male,jrichard@example.org,"24 rue du Champ de l'alouette, 75013 Paris",1952-05-15T00:00:00,France,1999-07-19T00:00:00,2023-11-20T00:00:00,M0007,Responsable SAV,Technicien,6,20,1
44,Vigneau,Alexandre,Male,avigneau@example.org,7 rue du Renard,,,2017-09-11T00:00:00,,M0048,,Cadre,6,9,1
45,Flantier,Noël,Undefined,nflantier@example.org,39 rue de Tolbiac,1983-02-23T00:00:00,France,2016-01-04T00:00:00,,M0046,Ingénieur R&D,Technicien,12,15,1
46,Bouvet,Augustin,Undefined,abouvet@example.org,"24 rue Olier, 75015 Paris",1957-02-23T00:00:00,France,2016-01-04T00:00:00,,M0047,Ingénieur R&D,Cadre,12,15,1
47,Camus,Pierre,Undefined,pcamus@example.org,41 Avenue Tolbiac,,,2023-09-25T00:00:00,,M0045,,Cadre,7,15,1
48,García,Maria,Female,mgarcia@example.es,"Calle Gran Vía, 21 LOC 28013 Madrid",1985-02-25T00:00:00,,2009-08-12T00:00:00,,ES0001,,Cuadros superiores,22,57,3
49,Fernández,Carmen,Female,cfernandez@example.es,"Calle Gran Vía, 20 LOC 28013 Madrid",1983-03-18T00:00:00,,2015-02-23T00:00:00,,ES0002,Asistente de marketing,Cuadros superiores,24,48,3
50,González,José,Male,jgonzalez@example.es,"Calle Gran Vía, 190 LOC 28013 Madrid",1985-02-12T00:00:00,,2012-06-04T00:00:00,,ES0003,,Cuadros medios,24,49,3
51,Rodríguez,Manuel,Undefined,mrodriguez@lucca.es,"Calle Gran Vía, 130 LOC2 8013 Madrid",1988-04-10T00:00:00,,2016-09-09T00:00:00,2021-03-21T00:00:00,ES0004,,Cuadros superiores,27,57,3
52,López,Paula,Female,plopez@example.es,"Calle Gran Vía, 10 LOC 28013 Madrid",1982-01-08T00:00:00,,2014-11-15T00:00:00,,ES0005,,Cuadros medios,24,49,3
53,Martínez,Pablo,Male,pmartinez@example.es,"Calle Gran Vía, 190 LOC 28013 Madrid",1984-05-15T00:00:00,Spain,2004-06-19T00:00:00,,ES0006,Especialista Marketing Digital,Cuadros superiores,24,49,3
54,Sánchez,Alejandro,Male,asanchez@example.es,"Calle Gran Vía, 18 LOC 28013 Madrid",1986-06-19T00:00:00,,2004-08-25T00:00:00,,ES0007,,Cuadros superiores,25,61,3
55,Pérez,Sofia,Female,sperez@example.es,"Calle Gran Vía, 200 LOC 28013 Madrid",1987-07-02T00:00:00,,2004-10-17T00:00:00,,ES0008,,Cuadros superiores,26,57,3
56,Martín,Dolores,Female,dmartin@example.es,"Calle Gran Vía, 30 LOC 28013 Madrid",1988-09-05T00:00:00,,2015-05-27T00:00:00,,ES0009,,Cuadros superiores,21,57,3
57,Gómez,Antonio,Male,agomez@example.es,"Calle Princesa, 58 PPAL 28008 Madrid",1989-10-13T00:00:00,Andorra,2015-07-22T00:00:00,,ES0010,Director general,Cuadros superiores,20,57,3
58,Ruiz,Francisco,Male,fruiz@example.es,"Calle Princesa, 70 PPAL 28008 Madrid",1980-11-20T00:00:00,,2012-04-06T00:00:00,,ES0011,,Cuadros superiores,22,48,3
59,Serrano,Magdalena,Female,mserrano@example.es,"Calle Princesa, 12 PPAL 28008 Madrid",1981-12-22T00:00:00,,2012-10-16T00:00:00,,ES0012,,Cuadros medios,21,56,3
60,Delgado,Juan,Male,jdelgado@example.es,Calle Antonio Gaudi 28008 Barcelona,1979-07-23T00:00:00,,2012-09-01T00:00:00,,ES0013,,Cuadros superiores,28,48,3
61,Iglesias,Ramon,Male,riglesias@example.es,"Quero, 7 LOC 28024 Madrid",1983-06-27T00:00:00,,2018-12-03T00:00:00,,ES0014,Comercial,Cuadros superiores,23,57,3
62,Cruz,Isabel,Female,icruz@example.es,"Quero, 9 LOC 28024 Madrid",1985-10-29T00:00:00,,2009-01-10T00:00:00,,ES0015,,Cuadros medios,25,54,3
63,Dominiguez,Catalina,Female,cdominiguez@example.es,"Quero, 10 LOC 28024 Madrid",1984-03-01T00:00:00,,2009-03-04T00:00:00,,ES0016,,Obréros especializados,26,55,3
64,Hernandez,Renata,Female,rhernandez@example.es,"Quero, 100 LOC 28024 Madrid",1986-05-03T00:00:00,,2015-03-13T00:00:00,,ES0017,,Cuadros superiores,27,51,3
65,Ramirez,Antonella,Female,aramirez@example.es,"Quero,138 LOC 28024 Madrid",1982-06-07T00:00:00,,2015-02-20T00:00:00,,ES0018,,Cuadros medios,21,56,3
66,Suarez,Gabriela,Female,gsuarez@example.es,"Bravo Murillo, 119 BAJO 28020 Madrid",1988-07-13T00:00:00,,2016-04-28T00:00:00,,ES0019,,Cuadros superiores,20,48,3
67,Velazquez,Victoria,Female,vvelazquez@example.es,"Bravo Murillo, 11 BAJO 28020 Madrid",1987-08-14T00:00:00,,2016-09-11T00:00:00,,ES0020,,Cuadros medios,22,58,3
68,Velez,Joaquín,Male,jvelez@example.es,"Bravo Murillo, 120 BAJO 28020 Madrid",1989-09-16T00:00:00,,2016-10-14T00:00:00,,ES0021,,Cuadros medios,28,60,3
69,Elcaldo,Emiliano,Male,ealcaldo@example.es,"Bravo Murillo, 200 BAJO 28020 Madrid",1978-04-17T00:00:00,,2005-01-21T00:00:00,2023-10-31T00:00:00,ES0022,,Obréros especializados,26,55,3
70,Barbero,Sara,Female,sbarbero@example.es,"Bravo Murillo, 300 BAJO 28020 Madrid",1976-03-20T00:00:00,,2005-05-05T00:00:00,,ES0023,,Cuadros superiores,23,61,3
71,Cabrero,Lucia,Female,lcabrero@example.es,,1975-05-21T00:00:00,,2005-02-07T00:00:00,,ES0024,,Cuadros medios,25,54,3
72,Cantor,Martina,Undefined,mcantor@lucca.es,,1974-07-24T00:00:00,,2006-09-08T00:00:00,2020-08-21T00:00:00,ES0025,,Cuadros medios,21,,3
73,Cavallero,Lucas,Male,lcavallero@example.es,,1977-03-26T00:00:00,,2006-03-18T00:00:00,,ES0026,,Cuadros medios,27,51,3
74,Corredor,Hugo,Male,hcorredor@example.es,,1977-11-30T00:00:00,,2006-09-24T00:00:00,,ES0027,,Cuadros medios,25,78,3
75,Hidalgo,Martín,Male,mhidalgo@example.es,,1979-02-01T00:00:00,,2007-01-25T00:00:00,,ES0028,,Obréros especializados,26,55,3
76,Marin,Daniel,Male,dmarin@example.es,,1978-10-31T00:00:00,,2007-03-26T00:00:00,,ES0029,,Cuadros superiores,23,61,3
77,Herrera,Camilla,Female,cherrera@example.es,,1981-09-25T00:00:00,,2008-10-29T00:00:00,,ES0030,,Cuadros medios,25,78,3
78,Marques,Valentina,Female,vmarques@example.es,,1982-04-09T00:00:00,,2008-04-30T00:00:00,,ES0031,,Cuadros medios,25,61,3
79,Molinero,Valeria,Female,vmolinero@example.es,,1984-10-10T00:00:00,,2010-05-03T00:00:00,,ES0032,,Obréros especializados,26,57,3
80,Romero,Mariana,Female,mromero@example.es,,1971-03-12T00:00:00,,2011-09-12T00:00:00,,ES0033,,Obréros especializados,26,79,3
81,Torrero,Santiago,Male,storrero@example.es,,1970-05-17T00:00:00,,2013-09-15T00:00:00,,ES0034,,Cuadros superiores,20,48,3
82,Zapatero,Sebastián,Male,szapatero@example.es,,1972-06-15T00:00:00,,2013-01-21T00:00:00,,ES0035,,Cuadros medios,24,83,3
83,Cano,Matías,Male,mcano@example.es,,1974-08-22T00:00:00,,2014-04-10T00:00:00,,ES0036,,Cuadros medios,24,48,3
84,Cortes,Mateo,Male,mcortes@example.es,,1973-12-08T00:00:00,,2016-11-02T00:00:00,,ES0037,,Cuadros medios,24,83,3
85,Delgado,Nicolás,Male,ndelgado@example.es,,1971-12-16T00:00:00,,2016-09-05T00:00:00,,ES0038,,Cuadros medios,22,58,3
86,Garza,Diego,Undefined,dgarza@lucca.es,,1982-04-13T00:00:00,,2016-01-14T00:00:00,2020-09-30T00:00:00,ES0039,,Cuadros superiores,27,51,3
87,Orejon,Samuel,Male,sorejon@example.es,,1985-07-25T00:00:00,,2016-03-18T00:00:00,,ES0040,,Obréros especializados,26,55,3
